year category name film result
1940 "Outstanding Production" "Goodbye, Mr. Chips" Metro-Goldwyn-Mayer Nominee
1940 "Outstanding Production" "Love Affair" "RKO Radio" Nominee
1940 "Outstanding Production" "Mr. Smith Goes to Washington" Columbia Nominee
1940 "Outstanding Production" Ninotchka Metro-Goldwyn-Mayer Nominee
1940 "Outstanding Production" "Of Mice and Men" "Hal Roach (production company)" Nominee
1940 "Outstanding Production" Stagecoach "Walter Wanger (production company)" Nominee
1940 "Outstanding Production" "The Wizard of Oz" Metro-Goldwyn-Mayer Nominee
1940 "Outstanding Production" "Wuthering Heights" "Samuel Goldwyn Productions" Nominee
1940 "Special Effects" "The Rains Came" "Fred Sersen, E. H. Hansen" Winner
1940 "Special Effects" "Gone with the Wind" "John R. Cosgrove, Fred Albin, Arthur Johns" Nominee
1940 "Special Effects" "Only Angels Have Wings" "Roy Davidson, Edwin C. Hahn" Nominee
1940 "Special Effects" "The Private Lives of Elizabeth and Essex" "Byron Haskin, Nathan Levinson" Nominee
1940 "Special Effects" "Topper Takes a Trip" "Roy Seawright" Nominee
1940 "Special Effects" "Union Pacific" "Farciot Edouart, Gordon Jennings, Loren Ryder" Nominee
1940 "Special Effects" "The Wizard of Oz" "A. Arnold Gillespie, Douglas Shearer" Nominee
1941 "Outstanding Production" Rebecca "Selznick International Pictures" Winner
1941 "Outstanding Production" "All This, and Heaven Too" "Warner Bros." Nominee
1941 "Outstanding Production" "Foreign Correspondent" "Walter Wanger (production company)" Nominee
1941 "Outstanding Production" "The Grapes of Wrath" "20th Century-Fox" Nominee
1941 "Outstanding Production" "The Great Dictator" "Charles Chaplin Productions" Nominee
1941 "Outstanding Production" "Kitty Foyle" "RKO Radio" Nominee
1941 "Outstanding Production" "The Letter" "Warner Bros." Nominee
1941 "Outstanding Production" "The Long Voyage Home" Argosy-Wanger Nominee
1941 "Outstanding Production" "Our Town" "Sol Lesser (production company)" Nominee
1941 "Outstanding Production" "The Philadelphia Story" Metro-Goldwyn-Mayer Nominee
1941 "Special Effects" "The Thief of Bagdad" "Photographic Effects by Lawrence Butler; Sound Effects by Jack Whitney" Winner
1941 "Special Effects" "The Blue Bird" "Photographic Effects by Fred Sersen; Sound Effects by E. H. Hansen" Nominee
1941 "Special Effects" "Boom Town" "Photographic Effects by A. Arnold Gillespie; Sound Effects by Douglas Shearer" Nominee
1941 "Special Effects" "The Boys from Syracuse" "Photographic Effects by John P. Fulton; Sound Effects by Bernard B. Brown, Joseph Lapis" Nominee
1941 "Special Effects" "Dr. Cyclops" "Photographic Effects by Gordon Jennings, Farciot Edouart" Nominee
1941 "Special Effects" "Foreign Correspondent" "Photographic Effects by Paul Eagler; Sound Effects by Thomas T. Moulton" Nominee
1941 "Special Effects" "The Invisible Man Returns" "Photographic Effects by John P. Fulton; Sound Effects by Bernard B. Brown, William Hedgecock" Nominee
1941 "Special Effects" "The Long Voyage Home" "Photographic Effects by R. T. Layton, R. O. Binger; Sound Effects by Thomas T. Moulton" Nominee
1941 "Special Effects" "One Million B.C." "Photographic Effects by Roy Seawright; Sound Effects by Elmer Raguse" Nominee
1941 "Special Effects" Rebecca "Photographic Effects by Jack Cosgrove; Sound Effects by Arthur Johns" Nominee
1941 "Special Effects" "The Sea Hawk" "Photographic Effects by Byron Haskin; Sound Effects by Nathan Levinson" Nominee
1941 "Special Effects" "Swiss Family Robinson" "Photographic Effects by Vernon L. Walker; Sound Effects by John O. Aalberg" Nominee
1941 "Special Effects" Typhoon "Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Loren Ryder" Nominee
1941 "Special Effects" "Women in War" "Photographic Effects by Howard J. Lydecker, William Bradford, Ellis J. Thackery; Sound Effects by Herbert Norsch" Nominee
1942 "Special Effects" "I Wanted Wings" "Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop" Winner
1942 "Special Effects" "Aloma of the South Seas" "Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop" Nominee
1942 "Special Effects" "Flight Command" "Photographic Effects by A. Arnold Gillespie; Sound Effects by Douglas Shearer" Nominee
1942 "Special Effects" "The Invisible Woman" "Photographic Effects by John Fulton; Sound Effects by John Hall" Nominee
1942 "Special Effects" "The Sea Wolf" "Photographic Effects by Byron Haskin; Sound Effects by Nathan Levinson" Nominee
1942 "Special Effects" "That Hamilton Woman" "Photographic Effects by Lawrence Butler; Sound Effects by William H. Wilmarth" Nominee
1942 "Special Effects" "Topper Returns" "Photographic Effects by Roy Seawright; Sound Effects by Elmer Raguse" Nominee
1942 "Special Effects" "A Yank in the R.A.F." "Photographic Effects by Fred Sersen; Sound Effects by E. H. Hansen" Nominee
1943 "Special Effects" "Reap the Wild Wind" "Photographic Effects by Gordon Jennings, Farciot Edouart, William L. Pereira; Sound Effects by Louis Mesenkop" Winner
1943 "Special Effects" "The Black Swan" "Photographic Effects by Fred Sersen; Sound Effects by Roger Heman, George Leverett" Nominee
1943 "Special Effects" "Desperate Journey" "Photographic Effects by Byron Haskin; Sound Effects by Nathan Levinson" Nominee
1943 "Special Effects" "Flying Tigers" "Photographic Effects by Howard Lydecker; Sound Effects by Daniel J. Bloomberg" Nominee
1943 "Special Effects" "Invisible Agent" "Photographic Effects by John Fulton; Sound Effects by Bernard B. Brown" Nominee
1943 "Special Effects" "Jungle Book" "Photographic Effects by Lawrence Butler; Sound Effects by William H. Wilmarth" Nominee
1943 "Special Effects" "Mrs. Miniver" "Photographic Effects by A. Arnold Gillespie, Warren Newcombe; Sound Effects by Douglas Shearer" Nominee
1943 "Special Effects" "The Navy Comes Through" "Photographic Effects by Vernon L. Walker; Sound Effects by James G. Stewart" Nominee
1943 "Special Effects" "One of Our Aircraft Is Missing" "Photographic Effects by Ronald Neame; Sound Effects by C. C. Stevens" Nominee
1943 "Special Effects" "The Pride of the Yankees" "Photographic Effects by Jack Cosgrove, Ray Binger; Sound Effects by Thomas T. Moulton" Nominee
1944 "Special Effects" "Crash Dive" "Photographic Effects by Fred Sersen; Sound Effects by Roger Heman" Winner
1944 "Special Effects" "Air Force" "Photographic Effects by Hans Koenekamp, Rex Wimpy; Sound Effects by Nathan Levinson" Nominee
1944 "Special Effects" Bombardier "Photographic Effects by Vernon L. Walker; Sound Effects by James G. Stewart, Roy Granville" Nominee
1944 "Special Effects" "The North Star" "Photographic Effects by Clarence Slifer, R. O. Binger; Sound Effects by Thomas T. Moulton" Nominee
1944 "Special Effects" "So Proudly We Hail!" "Photographic Effects by Gordon Jennings, Farciot Edouart; Sound Effects by George Dutton" Nominee
1944 "Special Effects" "Stand By for Action" "Photographic Effects by A. Arnold Gillespie, Donald Jahraus; Sound Effects by Michael Steinore" Nominee
1945 "Best Motion Picture" "Going My Way" Paramount Winner
1945 "Best Motion Picture" "Double Indemnity" Paramount Nominee
1945 "Best Motion Picture" Gaslight Metro-Goldwyn-Mayer Nominee
1945 "Best Motion Picture" "Since You Went Away" "Selznick International Pictures" Nominee
1945 "Best Motion Picture" Wilson "20th Century-Fox" Nominee
1945 "Special Effects" "Thirty Seconds over Tokyo" "Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Warren Newcombe; Sound Effects by Douglas Shearer" Winner
1945 "Special Effects" "The Adventures of Mark Twain" "Photographic Effects by Paul Detlefsen, John Crouse; Sound Effects by Nathan Levinson" Nominee
1945 "Special Effects" "Days of Glory" "Photographic Effects by Vernon L. Walker; Sound Effects by James G. Stewart, Roy Granville" Nominee
1945 "Special Effects" "Secret Command" "Photographic Effects by David Allen, Ray Cory, Robert Wright; Sound Effects by Russell Malmgren, Harry Kusnick" Nominee
1945 "Special Effects" "Since You Went Away" "Photographic Effects by John R. Cosgrove; Sound Effects by Arthur Johns" Nominee
1945 "Special Effects" "The Story of Dr. Wassell" "Photographic Effects by Gordon Jennings, Farciot Edouart; Sound Effects by George Dutton" Nominee
1945 "Special Effects" Wilson "Photographic Effects by Fred Sersen; Sound Effects by Roger Heman" Nominee
1946 "Best Motion Picture" "The Lost Weekend" Paramount Winner
1946 "Best Motion Picture" "Anchors Aweigh" Metro-Goldwyn-Mayer Nominee
1946 "Best Motion Picture" "The Bells of St. Mary's" "Rainbow Productions" Nominee
1946 "Best Motion Picture" "Mildred Pierce" "Warner Bros." Nominee
1946 "Best Motion Picture" Spellbound "Selznick International Pictures" Nominee
1946 "Special Effects" "Wonder Man" "Photographic Effects by John Fulton; Sound Effects by Arthur W. Johns" Winner
1946 "Special Effects" "Captain Eddie" "Photographic Effects by Fred Sersen, Sol Halprin; Sound Effects by Roger Heman, Harry Leonard" Nominee
1946 "Special Effects" Spellbound "Photographic Effects by Jack Cosgrove" Nominee
1946 "Special Effects" "They Were Expendable" "Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Robert A. MacDonald; Sound Effects by Michael Steinore" Nominee
1946 "Special Effects" "A Thousand and One Nights" "Photographic Effects by Lawrence W. Butler; Sound Effects by Ray Bomba" Nominee
1947 "Best Motion Picture" "The Best Years of Our Lives" "Samuel Goldwyn Productions" Winner
1947 "Best Motion Picture" "Henry V" "J. Arthur Rank-Two Cities Films" Nominee
1947 "Best Motion Picture" "It's a Wonderful Life" "Liberty Films" Nominee
1947 "Best Motion Picture" "The Razor's Edge" "20th Century-Fox" Nominee
1947 "Best Motion Picture" "The Yearling" Metro-Goldwyn-Mayer Nominee
1947 "Special Effects" "Blithe SpiritA Stolen Life" "Special Visual Effects by Thomas HowardSpecial Visual Effects by William McGann; Special Audible Effects by Nathan Levinson" Winner
1947 "Special Effects" "A Stolen Life" "Special Visual Effects by William McGann; Special Audible Effects by Nathan Levinson" Nominee
1948 "Best Motion Picture" "Gentleman's Agreement" "20th Century-Fox" Winner
1948 "Best Motion Picture" "The Bishop's Wife" "Samuel Goldwyn Productions" Nominee
1948 "Best Motion Picture" Crossfire "RKO Radio" Nominee
1948 "Best Motion Picture" "Great Expectations" "J. Arthur Rank-Cineguild" Nominee
1948 "Best Motion Picture" "Miracle on 34th Street" "20th Century-Fox" Nominee
1948 "Special Effects" "Green Dolphin StreetUnconquered" "Special Visual Effects by A. Arnold Gillespie, Warren Newcombe; Special Audible Effects by Douglas Shearer, Michael SteinoreSpecial Visual Effects by Farciot Edouart, Devereux Jennings, Gordon Jennings, Wallace Kelley, Paul Lerpae; Special Audible Effects by George Dutton" Winner
1948 "Special Effects" Unconquered "Special Visual Effects by Farciot Edouart, Devereux Jennings, Gordon Jennings, Wallace Kelley, Paul Lerpae; Special Audible Effects by George Dutton" Nominee
1949 "Best Motion Picture" Hamlet "J. Arthur Rank-Two Cities Films" Winner
1949 "Best Motion Picture" "Johnny Belinda" "Warner Bros." Nominee
1949 "Best Motion Picture" "The Red Shoes" "J. Arthur Rank-Archers" Nominee
1949 "Best Motion Picture" "The Snake Pit" "20th Century-Fox" Nominee
1949 "Best Motion Picture" "The Treasure of the Sierra Madre" "Warner Bros." Nominee
1949 "Special Effects" "Portrait of JennieDeep Waters" "Special Visual Effects by Paul Eagler, J. McMillan Johnson, Russell Shearman, Clarence Slifer; Special Audible Effects by Charles Freeman, James G. StewartSpecial Visual Effects by Ralph Hammeras, Fred Sersen, Edward Snyder; Special Audible Effects by Roger Heman" Winner
1949 "Special Effects" "Deep Waters" "Special Visual Effects by Ralph Hammeras, Fred Sersen, Edward Snyder; Special Audible Effects by Roger Heman" Nominee
1950 "Best Motion Picture" "All the King's Men" "Robert Rossen Productions" Winner
1950 "Best Motion Picture" Battleground Metro-Goldwyn-Mayer Nominee
1950 "Best Motion Picture" "The Heiress" Paramount Nominee
1950 "Best Motion Picture" "A Letter to Three Wives" "20th Century-Fox" Nominee
1950 "Best Motion Picture" "Twelve O'Clock High" "20th Century-Fox" Nominee
1950 "Special Effects" "Mighty Joe YoungTulsa" "ARKO ProductionsWalter Wanger Pictures" Winner
1950 "Special Effects" Tulsa "Walter Wanger Pictures" Nominee
1951 "Best Motion Picture" "All about Eve" "20th Century-Fox" Winner
1951 "Best Motion Picture" "Born Yesterday" Columbia Nominee
1951 "Best Motion Picture" "Father of the Bride" Metro-Goldwyn-Mayer Nominee
1951 "Best Motion Picture" "King Solomon's Mines" Metro-Goldwyn-Mayer Nominee
1951 "Best Motion Picture" "Sunset Blvd." Paramount Nominee
1951 "Special Effects" "Destination MoonSamson and Delilah" "George Pal ProductionsCecil B. DeMille Productions" Winner
1951 "Special Effects" "Samson and Delilah" "Cecil B. DeMille Productions" Nominee
1952 "Best Motion Picture" "An American in Paris" "Arthur Freed, Producer" Winner
1952 "Best Motion Picture" "Decision before Dawn" "Anatole Litvak and Frank McCarthy, Producers" Nominee
1952 "Best Motion Picture" "A Place in the Sun" "George Stevens, Producer" Nominee
1952 "Best Motion Picture" "Quo Vadis" "Sam Zimbalist, Producer" Nominee
1952 "Best Motion Picture" "A Streetcar Named Desire" "Charles K. Feldman, Producer" Nominee
1952 "Special Effects" "When Worlds Collide" Paramount Winner
1952 "Special Effects"   Nominee
1953 "Best Motion Picture" "The Greatest Show on Earth" "Cecil B. DeMille, Producer" Winner
1953 "Best Motion Picture" "High Noon" "Stanley Kramer, Producer" Nominee
1953 "Best Motion Picture" Ivanhoe "Pandro S. Berman, Producer" Nominee
1953 "Best Motion Picture" "Moulin Rouge" "Romulus Films" Nominee
1953 "Best Motion Picture" "The Quiet Man" "John Ford and Merian C. Cooper, Producers" Nominee
1953 "Special Effects" "Plymouth Adventure" Metro-Goldwyn-Mayer Winner
1953 "Special Effects"   Nominee
1954 "Best Motion Picture" "From Here to Eternity" "Buddy Adler, Producer" Winner
1954 "Best Motion Picture" "Julius Caesar" "John Houseman, Producer" Nominee
1954 "Best Motion Picture" "The Robe" "Frank Ross, Producer" Nominee
1954 "Best Motion Picture" "Roman Holiday" "William Wyler, Producer" Nominee
1954 "Best Motion Picture" Shane "George Stevens, Producer" Nominee
1954 "Special Effects" "The War of the Worlds" "Paramount Studio" Winner
1954 "Special Effects"   Nominee
1955 "Best Motion Picture" "On the Waterfront" "Sam Spiegel, Producer" Winner
1955 "Best Motion Picture" "The Caine Mutiny" "Stanley Kramer, Producer" Nominee
1955 "Best Motion Picture" "The Country Girl" "William Perlberg, Producer" Nominee
1955 "Best Motion Picture" "Seven Brides for Seven Brothers" "Jack Cummings, Producer" Nominee
1955 "Best Motion Picture" "Three Coins in the Fountain" "Sol C. Siegel, Producer" Nominee
1955 "Special Effects" "20,000 Leagues under the Sea" "Walt Disney Studios" Winner
1955 "Special Effects" "Hell and High Water" "20th Century-Fox Studio" Nominee
1955 "Special Effects" Them! "Warner Bros. Studio" Nominee
1956 "Best Motion Picture" Marty "Harold Hecht, Producer" Winner
1956 "Best Motion Picture" "Love Is a Many-Splendored Thing" "Buddy Adler, Producer" Nominee
1956 "Best Motion Picture" "Mister Roberts" "Leland Hayward, Producer" Nominee
1956 "Best Motion Picture" Picnic "Fred Kohlmar, Producer" Nominee
1956 "Best Motion Picture" "The Rose Tattoo" "Hal B. Wallis, Producer" Nominee
1956 "Special Effects" "The Bridges at Toko-Ri" "Paramount Studio" Winner
1956 "Special Effects" "The Dam Busters" "Associated British Picture Corporation, Ltd." Nominee
1956 "Special Effects" "The Rains of Ranchipur" "20th Century-Fox Studio" Nominee
1957 "Foreign Language Film" "La Strada" "Italy; Dino De Laurentiis and Carlo Ponti, Producers" Winner
1957 "Foreign Language Film" "The Captain of Kopenick" "Federal Republic of Germany - West; Gyula Trebitsch and Walter Koppel, Producers" Nominee
1957 "Foreign Language Film" Gervaise "France; Annie Dorfmann, Producer" Nominee
1957 "Foreign Language Film" "Harp of Burma" "Japan; Masayuki Takagi, Producer" Nominee
1957 "Foreign Language Film" Qivitoq "Denmark; O. Dalsgaard-Olsen, Producer" Nominee
1957 "Best Motion Picture" "Around the World in 80 Days" "Michael Todd, Producer" Winner
1957 "Best Motion Picture" "Friendly Persuasion" "William Wyler, Producer" Nominee
1957 "Best Motion Picture" Giant "George Stevens and Henry Ginsberg, Producers" Nominee
1957 "Best Motion Picture" "The King and I" "Charles Brackett, Producer" Nominee
1957 "Best Motion Picture" "The Ten Commandments" "Cecil B. DeMille, Producer" Nominee
1957 "Special Effects" "The Ten CommandmentsForbidden Planet" "John FultonA. Arnold Gillespie, Irving Ries, Wesley C. Miller" Winner
1957 "Special Effects" "Forbidden Planet" "A. Arnold Gillespie, Irving Ries, Wesley C. Miller" Nominee
1958 "Foreign Language Film" "The Nights of Cabiria" Italy Winner
1958 "Foreign Language Film" "The Devil Came at Night" "West Germany" Nominee
1958 "Foreign Language Film" "Gates of Paris" France Nominee
1958 "Foreign Language Film" "Mother India" India Nominee
1958 "Foreign Language Film" "Nine Lives" Norway Nominee
1958 "Best Motion Picture" "The Bridge on the River Kwai" "Sam Spiegel, Producer" Winner
1958 "Best Motion Picture" "Peyton Place" "Jerry Wald, Producer" Nominee
1958 "Best Motion Picture" Sayonara "William Goetz, Producer" Nominee
1958 "Best Motion Picture" "12 Angry Men" "Henry Fonda and Reginald Rose, Producers" Nominee
1958 "Best Motion Picture" "Witness for the Prosecution" "Arthur Hornblow, Jr., Producer" Nominee
1958 "Special Effects" "The Enemy BelowThe Spirit of St. Louis" "Audible Effects by Walter RossiVisual Effects by Louis Lichtenfield" Winner
1958 "Special Effects" "The Spirit of St. Louis" "Visual Effects by Louis Lichtenfield" Nominee
1959 "Foreign Language Film" "My Uncle" France Winner
1959 "Foreign Language Film" "Arms and the Man" "West Germany" Nominee
1959 "Foreign Language Film" "La Venganza" Spain Nominee
1959 "Foreign Language Film" "The Road a Year Long" Yugoslavia Nominee
1959 "Foreign Language Film" "The Usual Unidentified Thieves" Italy Nominee
1959 "Best Motion Picture" Gigi "Arthur Freed, Producer" Winner
1959 "Best Motion Picture" "Auntie Mame" "Warner Bros." Nominee
1959 "Best Motion Picture" "Cat on a Hot Tin Roof" "Lawrence Weingarten, Producer" Nominee
1959 "Best Motion Picture" "The Defiant Ones" "Stanley Kramer, Producer" Nominee
1959 "Best Motion Picture" "Separate Tables" "Harold Hecht, Producer" Nominee
1959 "Special Effects" "tom thumbTorpedo Run" "Visual Effects by Tom HowardVisual Effects by A. Arnold Gillespie; Audible Effects by Harold Humbrock" Winner
1959 "Special Effects" "Torpedo Run" "Visual Effects by A. Arnold Gillespie; Audible Effects by Harold Humbrock" Nominee
1960 "Foreign Language Film" "Black Orpheus" France Winner
1960 "Foreign Language Film" "The Bridge" "West Germany" Nominee
1960 "Foreign Language Film" "The Great War" Italy Nominee
1960 "Foreign Language Film" Paw Denmark Nominee
1960 "Foreign Language Film" "The Village on the River" "The Netherlands" Nominee
1960 "Best Motion Picture" Ben-Hur "Sam Zimbalist, Producer" Winner
1960 "Best Motion Picture" "Anatomy of a Murder" "Otto Preminger, Producer" Nominee
1960 "Best Motion Picture" "The Diary of Anne Frank" "George Stevens, Producer" Nominee
1960 "Best Motion Picture" "The Nun's Story" "Henry Blanke, Producer" Nominee
1960 "Best Motion Picture" "Room at the Top" "John Woolf and James Woolf, Producers" Nominee
1960 "Special Effects" "Ben-HurJourney to the Center of the Earth" "Visual Effects by A. Arnold Gillespie, Robert MacDonald; Audible Effects by Milo LoryVisual Effects by L. B. Abbott, James B. Gordon; Audible Effects by Carl Faulkner" Winner
1960 "Special Effects" "Journey to the Center of the Earth" "Visual Effects by L. B. Abbott, James B. Gordon; Audible Effects by Carl Faulkner" Nominee
1961 "Foreign Language Film" "The Virgin Spring" Sweden Winner
1961 "Foreign Language Film" Kapo Italy Nominee
1961 "Foreign Language Film" "La Vérité " France Nominee
1961 "Foreign Language Film" Macario Mexico Nominee
1961 "Foreign Language Film" "The Ninth Circle" Yugoslavia Nominee
1961 "Best Motion Picture" "The Apartment" "Billy Wilder, Producer" Winner
1961 "Best Motion Picture" "The Alamo" "John Wayne, Producer" Nominee
1961 "Best Motion Picture" "Elmer Gantry" "Bernard Smith, Producer" Nominee
1961 "Best Motion Picture" "Sons and Lovers" "Jerry Wald, Producer" Nominee
1961 "Best Motion Picture" "The Sundowners" "Fred Zinnemann, Producer" Nominee
1961 "Special Effects" "The Time MachineThe Last Voyage" "Visual Effects by Gene Warren, Tim BaarVisual Effects by A.J. Lohman" Winner
1961 "Special Effects" "The Last Voyage" "Visual Effects by A.J. Lohman" Nominee
1962 "Foreign Language Film" "Through a Glass Darkly" Sweden Winner
1962 "Foreign Language Film" "Harry and the Butler" Denmark Nominee
1962 "Foreign Language Film" "Immortal Love" Japan Nominee
1962 "Foreign Language Film" "The Important Man" Mexico Nominee
1962 "Foreign Language Film" Placido Spain Nominee
1962 "Best Motion Picture" "West Side Story" "Robert Wise, Producer" Winner
1962 "Best Motion Picture" Fanny "Joshua Logan, Producer" Nominee
1962 "Best Motion Picture" "The Guns of Navarone" "Carl Foreman, Producer" Nominee
1962 "Best Motion Picture" "The Hustler" "Robert Rossen, Producer" Nominee
1962 "Best Motion Picture" "Judgment at Nuremberg" "Stanley Kramer, Producer" Nominee
1962 "Special Effects" "The Guns of NavaroneThe Absent Minded Professor" "Visual Effects by Bill Warrington; Audible Effects by Vivian C. GreenhamVisual Effects by Robert A. Mattey, Eustace Lycett" Winner
1962 "Special Effects" "The Absent Minded Professor" "Visual Effects by Robert A. Mattey, Eustace Lycett" Nominee
1963 "Foreign Language Film" "Sundays and Cybele" France Winner
1963 "Foreign Language Film" Electra Greece Nominee
1963 "Foreign Language Film" "The Four Days of Naples" Italy Nominee
