year,category,film,name,result,gender,birthday
1930,Directing,The Divine Lady,Frank Lloyd,Winner,Male,1886
1930,Directing,Madame X,Lionel Barrymore,Nominee,Male,1878
1930,Directing,The Broadway Melody,Harry Beaumont,Nominee,Male,1888
1930,Directing,In Old Arizona,Irving Cummings,Nominee,Male,1888
1930,Directing,Drag,Frank Lloyd,Nominee,Male,1886
1930,Directing,Weary River,Frank Lloyd,Nominee,Male,1886
1930,Directing,The Patriot,Ernst Lubitsch,Nominee,Male,1892
1931,Directing,All Quiet on the Western Front,Lewis Milestone,Winner,Male,1895
1931,Directing,Anna Christie,Clarence Brown,Nominee,Male,1890
1931,Directing,Romance,Clarence Brown,Nominee,Male,1890
1931,Directing,The Divorcee,Robert Z. Leonard,Nominee,Male,1889
1931,Directing,The Love Parade,Ernst Lubitsch,Nominee,Male,1892
1931,Directing,Hallelujah,King Vidor,Nominee,Male,1894
1932,Directing,Skippy,Norman Taurog,Winner,Male,1899
1932,Directing,Cimarron,Wesley Ruggles,Nominee,Male,1889
1932,Directing,A Free Soul,Clarence Brown,Nominee,Male,1890
1932,Directing,The Front Page,Lewis Milestone,Nominee,Male,1895
1932,Directing,Morocco,Josef Von Sternberg,Nominee,Male,1894
1933,Directing,Bad Girl,Frank Borzage,Winner,Male,1894
1933,Directing,The Champ,King Vidor,Nominee,Male,1894
1933,Directing,Shanghai Express,Josef Von Sternberg,Nominee,Male,1894
1934,Directing,Cavalcade,Frank Lloyd,Winner,Male,1886
1934,Directing,Lady for a Day,Frank Capra,Nominee,Male,1897
1934,Directing,Little Women,George Cukor,Nominee,Male,1899
1935,Directing,It Happened One Night,Frank Capra,Winner,Male,1897
1935,Directing,One Night of Love,Victor Schertzinger,Nominee,Male,1888
1935,Directing,The Thin Man,W. S. Van Dyke,Nominee,Male,1889
1936,Directing,The Informer,John Ford,Winner,Male,1894
1936,Directing,Captain Blood,Michael Curtiz,Nominee,Male,1886
1936,Directing,The Lives of a Bengal Lancer,Henry Hathaway,Nominee,Male,1898
1936,Directing,Mutiny on the Bounty,Frank Lloyd,Nominee,Male,1886
1937,Directing,Mr. Deeds Goes to Town,Frank Capra,Winner,Male,1897
1937,Directing,Dodsworth,William Wyler,Nominee,Male,1902
1937,Directing,The Great Ziegfeld,Robert Z. Leonard,Nominee,Male,1889
1937,Directing,My Man Godfrey,Gregory La Cava,Nominee,Male,1892
1937,Directing,San Francisco,W. S. Van Dyke,Nominee,Male,1889
1938,Directing,The Awful Truth,Leo McCarey,Winner,Male,1896
1938,Directing,The Good Earth,Sidney Franklin,Nominee,Male,1893
1938,Directing,The Life of Emile Zola,William Dieterle,Nominee,Male,1893
1938,Directing,Stage Door,Gregory La Cava,Nominee,Male,1892
1938,Directing,A Star Is Born,William A. Wellman,Nominee,Male,1896
1939,Directing,You Can't Take It with You,Frank Capra,Winner,Male,1897
1939,Directing,Angels with Dirty Faces,Michael Curtiz,Nominee,Male,1886
1939,Directing,Boys Town,Norman Taurog,Nominee,Male,1899
1939,Directing,The Citadel,King Vidor,Nominee,Male,1894
1939,Directing,Four Daughters,Michael Curtiz,Nominee,Male,1886
1940,Directing,Gone with the Wind,Victor Fleming,Winner,Male,1889
1940,Directing,"Goodbye, Mr. Chips",Sam Wood,Nominee,Male,1883
1940,Directing,Mr. Smith Goes to Washington,Frank Capra,Nominee,Male,1897
1940,Directing,Stagecoach,John Ford,Nominee,Male,1894
1940,Directing,Wuthering Heights,William Wyler,Nominee,Male,1902
1941,Directing,The Grapes of Wrath,John Ford,Winner,Male,1894
1941,Directing,Kitty Foyle,Sam Wood,Nominee,Male,1883
1941,Directing,The Letter,William Wyler,Nominee,Male,1902
1941,Directing,The Philadelphia Story,George Cukor,Nominee,Male,1899
1941,Directing,Rebecca,Alfred Hitchcock,Nominee,Male,1899
1942,Directing,How Green Was My Valley,John Ford,Winner,Male,1894
1942,Directing,Citizen Kane,Orson Welles,Nominee,Male,1915
1942,Directing,Here Comes Mr. Jordan,Alexander Hall,Nominee,Male,1894
1942,Directing,The Little Foxes,William Wyler,Nominee,Male,1902
1942,Directing,Sergeant York,Howard Hawks,Nominee,Male,1896
