year,category,film,Studio/Creator(s),result,gender,birthdate
1930,Art Direction,Cedric Gibbons,The Bridge of San Luis Rey,Winner,,
1930,Art Direction,Hans Dreier,The Patriot,Nominee,,
1930,Art Direction,Mitchell Leisen,Dynamite,Nominee,,
1930,Art Direction,William Cameron Menzies,Alibi,Nominee,,
1930,Art Direction,William Cameron Menzies,The Awakening,Nominee,,
1930,Art Direction,Harry Oliver,Street Angel,Nominee,,
1931,Art Direction,Herman Rosse,King of Jazz,Winner,,
1931,Art Direction,(William Cameron Menzies),Bulldog Drummond,Nominee,,
1931,Art Direction,(Hans Dreier),The Love Parade,Nominee,,
1931,Art Direction,(Jack Okey),Sally,Nominee,,
1931,Art Direction,(Hans Dreier),The Vagabond King,Nominee,,
1932,Art Direction,Cimarron,Cimarron,Winner,,
1932,Art Direction,"Stephen Goosson, Ralph Hammeras",Just Imagine,Nominee,,
1932,Art Direction,Hans Dreier,Morocco,Nominee,,
1932,Art Direction,Anton Grot,Svengali,Nominee,,
1932,Art Direction,Richard Day,Whoopee!,Nominee,,
1933,Art Direction,Gordon Wiles,Transatlantic,Winner,,
1933,Art Direction,Lazare Meerson,,Nominee,,
1933,Art Direction,Richard Day,Arrowsmith,Nominee,,
1934,Art Direction,William S. Darling,Cavalcade,Winner,,
1934,Art Direction,"Hans Dreier, Roland Anderson",A Farewell to Arms,Nominee,,
1934,Art Direction,Cedric Gibbons,When Ladies Meet,Nominee,,
1935,Art Direction,"Cedric Gibbons, Frederic Hope",The Merry Widow,Winner,,
1935,Art Direction,Richard Day,The Affairs of Cellini,Nominee,,
1935,Art Direction,"Van Nest Polglase, Carroll Clark",The Gay Divorcee,Nominee,,
